sale_id,event_id,buyer_name,buyer_email,buyer_phone,qty,subtotal,channel,purchased_at
ft_sal_000026,ft_evt_0027,Laura Castro,lauracastro236@gmail.com,573089478434,2,188000,BOX_OFFICE,2026-07-01 10:30:00
ft_sal_000027,ft_evt_0027,Carlos Muñoz,carlosmunoz878@gmail.com,,1,0,BOX_OFFICE,2026-07-01 18:30:00
ft_sal_000028,ft_evt_0027,Diana Guerrero,dianaguerrero259@hotmail.com,(+57) 317-375-1289,1,60000,WEB,2026-06-18 19:30:00
ft_sal_000029,ft_evt_0027,natalia ramírez,nataliaramirez497@gmail.com,,1,47000,WEB,2026-06-16 02:30:00
ft_sal_000030,ft_evt_0027,David Peña,david.pena67@hotmail.com,,1,53000,WEB,2026-06-23 04:30:00
ft_sal_000031,ft_evt_0027,Laura Hernández,laurahernandez770@proton.me,325 600 2526,1,53000,WEB,2026-06-28 11:30:00
ft_sal_000032,ft_evt_0027,Óscar González,oscargonzalez433@hotmail.com,,2,198000,WEB,2026-06-20 05:30:00
ft_sal_000033,ft_evt_0027,felipe rojas,felipe.rojas81@yahoo.com,3096000773,3,132000,WEB,2026-06-20 03:30:00
ft_sal_000034,ft_evt_0027,Alejandro Céspedes,alejandro.cespedes337@outlok.com,300 298 8977,3,267000,WEB,2026-06-16 14:30:00
ft_sal_000035,ft_evt_0027,Cristian Vargas,cristian.vargas@outlook.com,3181870793,1,0,BOX_OFFICE,2026-07-01 12:30:00
ft_sal_000036,ft_evt_0027,Martínez Esteban,esteban.martinez154@gmail.com,303 019 8703,1,60000,WEB,2026-06-19 15:30:00
ft_sal_000037,ft_evt_0027,carlos salazar,carlossalazar210@icloud.com,(+57) 314-597-8624,1,91000,WEB,2026-06-24 10:30:00
ft_sal_000038,ft_evt_0027,Carolina Guerrero,carolinaguerrero180@gmail.com,3079192471,2,190000,WEB,2026-06-19 05:30:00
ft_sal_000039,ft_evt_0027,Diana Cárdenas,dianacardenas732@gmail.com,+57 311 5614936,2,92000,WEB,2026-06-20 17:30:00
ft_sal_000040,ft_evt_0027,Restrepo Laura,laurarestrepo1@hotmail.com,306 419 1556,4,0,WEB,2026-06-24 15:30:00
ft_sal_000041,ft_evt_0027,Diana Bermúdez,diana.bermudez53@gmail.com,306 793 6012,1,0,WEB,2026-06-11 18:30:00
ft_sal_000042,ft_evt_0027,FABIÁN ROJAS,fabianrojas982@yahoo.com,+57 322 5625772,1,65000,WEB,2026-06-22 16:30:00
ft_sal_000043,ft_evt_0027,López Juan,juanlopez616@gmail.com,,2,88000,WEB,2026-06-18 05:30:00
ft_sal_000044,ft_evt_0027,Esteban González,estebangonzalez132@gmail.com,,4,188000,WEB,2026-06-21 14:30:00
ft_sal_000045,ft_evt_0027,Carolina Cifuentes,carolinacifuentes999@gmail.com,573146066164,1,62000,WEB,2026-06-13 00:30:00
ft_sal_000046,ft_evt_0027,Andrés Arango,andres.arango881@gmail.com,301 459 2373,1,0,WEB,2026-06-22 08:30:00
ft_sal_000047,ft_evt_0027,Luisa Mejía,luisamejia438@gmail.com,573161472404,1,43000,WEB,2026-06-25 11:30:00
ft_sal_000048,ft_evt_0027,Felipe Salazar,felipe.salazar@outlook.com,573102446698,4,232000,WEB,2026-06-22 15:30:00
ft_sal_000049,ft_evt_0027,Camilo Vargas Suárez,camilo.vargas@hotmail.com,3166107119,1,43000,WEB,2026-06-22 10:30:00
ft_sal_000050,ft_evt_0027,Natalia Ramírez,natalia.ramirez@hotmail.com,(+57) 313-144-0092,3,288000,WEB,2026-06-20 02:30:00
ft_sal_000051,ft_evt_0027,esteban ramírez,estebanramirez389@gmail.com,328 348 3846,1,93000,ADMIN,2026-06-25 11:30:00
ft_sal_000052,ft_evt_0027,Alejandro Ortiz,alejandro.ortiz95@gmail.com,573080601566,2,108000,BOX_OFFICE,2026-07-01 07:30:00
ft_sal_000053,ft_evt_0027,Miguel Moreno,miguel.moreno@hotmial.com,573041058660,2,294000,WEB,2026-06-19 20:30:00
ft_sal_000054,ft_evt_0027,Paula Mejía,paulamejia194@outlook.com,3012317979,1,0,WEB,2026-06-24 12:30:00
ft_sal_000055,ft_evt_0027,Andrea González,andreagonzalez693@yahoo.com,(+57) 300-777-1253,4,248000,WEB,2026-06-18 14:30:00
ft_sal_000056,ft_evt_0027,Julián Hernández,julianhernandez912@gmail.com,573176660865,6,270000,WEB,2026-06-22 06:30:00
ft_sal_000057,ft_evt_0027,Andrés Ortiz Bermúdez,andres.ortiz984@gmail.com,3257760045,2,270000,WEB,2026-06-12 00:30:00
ft_sal_000058,ft_evt_0027,óscar gonzález,oscar.gonzalez10@gmail.com,3070344134,6,270000,WEB,2026-06-17 10:30:00
ft_sal_000059,ft_evt_0027,Ortiz Sara,sara.ortiz987@gmial.com,3207449233,1,62000,WEB,2026-06-22 01:30:00
ft_sal_000060,ft_evt_0027,Isabella Salazar,isabella.salazar@gmial.com,306 039 6717,2,128000,WEB,2026-06-26 17:30:00
ft_sal_000061,ft_evt_0027,Santiago Ortiz,santiago.ortiz43@gmail.com,+57 309 3257597,1,0,WEB,2026-06-25 07:30:00
ft_sal_000062,ft_evt_0027,Alejandro González Salazar,alejandrogonzalez39@gmail.com,325 715 4048,4,344000,BOX_OFFICE,2026-07-01 04:30:00
ft_sal_000063,ft_evt_0027,Cristian Hernandez,cristian.hernandez37@icloud.com,573126143356,1,44000,WEB,2026-06-20 17:30:00
ft_sal_000064,ft_evt_0027,Mariana Moreno,marianamoreno428@outlook.com,3293498295,2,90000,BOX_OFFICE,2026-07-01 06:30:00
ft_sal_000065,ft_evt_0027,Ximena Ortiz,ximenaortiz155@gmail.com,573113808875,1,45000,ADMIN,2026-06-18 13:30:00
ft_sal_000066,ft_evt_0027,Julián Mejía,julianmejia885@gmail.com,3277554736,3,180000,ADMIN,2026-06-25 13:30:00
ft_sal_000067,ft_evt_0027,Muñoz Sebastián,sebastianmunoz605@yahoo.com,+57 329 9734104,2,184000,WEB,2026-06-22 16:30:00
ft_sal_000068,ft_evt_0027,Manuela Ospina Ramírez,manuelaospina393@gmail.com,(+57) 308-922-2047,2,96000,WEB,2026-06-21 06:30:00
ft_sal_000069,ft_evt_0027,Camilo Rodriguez,camilo.rodiguez27@outlook.com,+57 312 4606101,2,274000,BOX_OFFICE,2026-07-01 18:30:00
ft_sal_000070,ft_evt_0027,X. Bermúdez,ximenabermudez86@gmail.com,3006466193,2,0,BOX_OFFICE,2026-07-01 07:30:00
ft_sal_000071,ft_evt_0027,Juliana Castro,julianacastro867@outlook.com,+57 312 9157480,2,116000,WEB,2026-06-23 01:30:00
ft_sal_000072,ft_evt_0027,Paula Arango,paulaarango693@outlook.com,,2,114000,WEB,2026-06-20 05:30:00
ft_sal_000073,ft_evt_0027,Salazar Daniel,daniel.salazar208@gmail.com,573284818554,1,60000,WEB,2026-06-25 11:30:00
ft_sal_000074,ft_evt_0018,Alejandro Valencia,alejandro.valencia98@gmail.com,,2,90000,WEB,2026-06-20 10:00:00
ft_sal_000075,ft_evt_0018,Óscar Bermúdez,oscar.bermudez264@hotmail.com,3117907804,2,194000,WEB,2026-06-25 09:00:00
ft_sal_000076,ft_evt_0018,Mariana López Céspedes,mariana.lopez940@yahoo.com,319 906 3399,1,101000,WEB,2026-06-25 13:00:00
ft_sal_000077,ft_evt_0018,Arango Camila,CAMILA.ARANGO45@ICLOUD.COM,+57 308 9578992,4,392000,WEB,2026-06-23 19:00:00
ft_sal_000078,ft_evt_0018,Alejandra López,alejandra.lopez959+boletas@gmail.com,323 904 5275,3,0,WEB,2026-06-27 14:00:00
ft_sal_000079,ft_evt_0018,MARÍA RAMÍREZ,mariaramirez536@outlook.com,(+57) 310-003-2462,1,46000,WEB,2026-06-25 02:00:00
ft_sal_000080,ft_evt_0018,Guerrero Juan,juan.guerrero@yahoo.com,3173666434,2,94000,WEB,2026-06-22 05:00:00
ft_sal_000081,ft_evt_0018,Ximena Castro,ximena.castro475@gmail.com,(+57) 320-176-3839,2,120000,WEB,2026-06-21 00:00:00
ft_sal_000082,ft_evt_0018,Castro Diego,diego.castro@yahoo.com,312 487 4747,4,184000,WEB,2026-06-15 00:00:00
ft_sal_000083,ft_evt_0018,Fabián López,fabian.lopez142@gmail.com,307 350 4701,1,100000,ADMIN,2026-06-26 00:00:00
ft_sal_000084,ft_evt_0018,XIMENA CASTRO,ximena.castro@outlook.com,313 407 8807,2,130000,WEB,2026-06-25 13:00:00
ft_sal_000085,ft_evt_0018,Daniel Bermúdez,danielbermudez341@gmail.com,,1,41000,WEB,2026-06-17 14:00:00
ft_sal_000086,ft_evt_0018,natalia arango,nataliaarango888@outlook.com,+57 329 6606554,1,45000,WEB,2026-06-17 19:00:00
ft_sal_000087,ft_evt_0018,FELIPE BETANCUR,felipebetancur244@gmail.com,573067775431,1,97000,WEB,2026-06-28 03:00:00
ft_sal_000088,ft_evt_0018,Felipe Ospina,felipeospina771@yahoo.com,+57 328 7000940,1,47000,WEB,2026-06-21 01:00:00
ft_sal_000089,ft_evt_0018,Isabella Ramírez,isabellaramirez763@outlook.com,319 115 0731,2,110000,RRPP,2026-06-19 06:00:00
ft_sal_000090,ft_evt_0018,Santiago Bermúdez,santiago.bermudez798@gmail.com,3115512439,1,0,WEB,2026-06-24 19:00:00
ft_sal_000091,ft_evt_0018,daniel zapata,daniel.zapata@yahoo.com,+57 318 2437171,2,90000,WEB,2026-06-27 12:00:00
ft_sal_000092,ft_evt_0018,Paula Salazar,paula.salazar+eventos@gmail.com,3081299030,2,112000,WEB,2026-06-23 13:00:00
ft_sal_000093,ft_evt_0018,Santiago Valencia,santiago.valencia80@gmail.com,,1,59000,WEB,2026-06-28 10:00:00
ft_sal_000094,ft_evt_0018,Sebastian Cifuentes,sebastiancifuentes857@outlook.com,(+57) 324-713-1088,1,59000,WEB,2026-06-29 18:00:00
ft_sal_000095,ft_evt_0018,carlos bermúdez,carlos.bermudez@gmail.com,573087723780,1,44000,WEB,2026-06-10 14:00:00
ft_sal_000096,ft_evt_0018,David Hernández,fabian.cespedes@outlook.com,573285366298,1,45000,WEB,2026-06-29 14:00:00
ft_sal_000097,ft_evt_0018,David Muñoz,davidmunoz131@outlook.com,,1,145000,BOX_OFFICE,2026-07-02 14:00:00
ft_sal_000098,ft_evt_0018,Julián Martínez Restrepo,julianmartinez225@gmail.com,328 601 4985,1,101000,WEB,2026-06-30 18:00:00
ft_sal_000099,ft_evt_0018,Diana Guerrero,diana.guerrero64@icloud.com,573274614581,2,122000,WEB,2026-06-26 16:00:00
ft_sal_000100,ft_evt_0018,Alejandra Céspedes,alejandracespedes816@proton.me,573014851620,6,792000,BOX_OFFICE,2026-07-02 05:00:00
ft_sal_000101,ft_evt_0018,I. Martínez,isabella.martinez16@gmail.com,573296500393,2,96000,WEB,2026-06-21 05:00:00
ft_sal_000102,ft_evt_0018,alejandro quintero,alejandro.quintero93@gmial.com,327 494 3104,2,86000,WEB,2026-06-21 15:00:00
ft_sal_000103,ft_evt_0018,CAMILA MARTÍNEZ,camila.martine69@gmail.com,(+57) 310-133-1824,2,90000,WEB,2026-06-21 15:00:00
ft_sal_000104,ft_evt_0018,FABIÁN JIMÉNEZ,fabian.jimenez@gmail.com,313 612 1808,3,0,BOX_OFFICE,2026-07-02 09:00:00
ft_sal_000105,ft_evt_0018,Paula Arango,paula.arango27+spam@gmail.com,+57 313 0893165,2,186000,WEB,2026-06-18 12:00:00
ft_sal_000106,ft_evt_0018,Miguel Jiménez,migueljimenez772@proton.me,(+57) 310-742-5359,1,47000,WEB,2026-06-29 09:00:00
ft_sal_000107,ft_evt_0018,Manuela Céspedes,manuela.cespedes66@gmail.com,3236639021,3,123000,BOX_OFFICE,2026-07-02 00:00:00
ft_sal_000108,ft_evt_0018,Muñoz Alejandro,alejandromunoz293@gmail.com,3192972500,2,96000,BOX_OFFICE,2026-07-02 03:00:00
ft_sal_000109,ft_evt_0018,Alejandra Cifuentes Suárez,alejandra.cifuentes25@gmail.com,3125447216,1,88000,WEB,2026-06-19 14:00:00
ft_sal_000110,ft_evt_0018,Diego Moreno,diegomoreno460@gmail.com,+57 312 7669834,2,120000,WEB,2026-06-28 03:00:00
ft_sal_000111,ft_evt_0018,Camilo Gomez,camilo.gomez@gmail.com,311 723 0314,1,91000,WEB,2026-06-26 15:00:00
ft_sal_000112,ft_evt_0018,ISABELLA GONZÁLEZ,isabella.gonzalez70@gmail.com,3136824379,2,190000,WEB,2026-06-16 12:00:00
ft_sal_000113,ft_evt_0018,TATIANA SUÁREZ,tatianasuarez804@gmail.com,,3,300000,BOX_OFFICE,2026-07-02 03:00:00
ft_sal_000114,ft_evt_0018,Natalia Bermúdez,natalia.bermudez557@gmail.com,3023992758,1,42000,RRPP,2026-06-17 05:00:00
ft_sal_000115,ft_evt_0018,SANTIAGO MEJÍA,santiago.mejia310@hotmail.com,3280913465,2,172000,WEB,2026-06-22 12:00:00
ft_sal_000116,ft_evt_0018,Valentina Munoz,valentina.munoz@gmail.com,573181088142,1,42000,RRPP,2026-06-26 09:00:00
ft_sal_000117,ft_evt_0018,Daniel Guerrero,daniel.guerrero@outlook.com,,2,122000,WEB,2026-06-16 04:00:00
ft_sal_000118,ft_evt_0018,David Betancur Betancur,davidbetancur263@icloud.com,318 210 8277,1,41000,WEB,2026-06-28 18:00:00
ft_sal_000119,ft_evt_0018,MARIANA VALENCIA,mariana.valencia@hotmial.com,573129739902,2,184000,WEB,2026-06-25 14:00:00
ft_sal_000120,ft_evt_0018,julián cifuentes,julian.cifuentes99@hotmail.com,,4,360000,BOX_OFFICE,2026-07-02 07:00:00
ft_sal_000121,ft_evt_0018,Sebastián Arango,sebastianarango726@gmail.com,,2,276000,WEB,2026-06-26 09:00:00
ft_sal_000122,ft_evt_0018,Juan Quintero,juan.quintero@outlook.com,+57 328 1213924,1,88000,WEB,2026-06-28 14:00:00
ft_sal_000123,ft_evt_0018,Juliana Cespedes,julianacespedes21@gmail.com,573267871694,2,94000,WEB,2026-06-21 15:00:00
ft_sal_000124,ft_evt_0018,diana arango,diana.arango5+compras@gmail.com,573048261677,1,42000,WEB,2026-06-29 08:00:00
ft_sal_000125,ft_evt_0018,Carlos Valencia,carlos.valencia714@gmail.com,+57 326 9249776,1,0,ADMIN,2026-06-20 03:00:00
ft_sal_000126,ft_evt_0018,Nicolás Moreno,nicolas.moreno26+boletas@gmail.com,321 600 5537,1,42000,BOX_OFFICE,2026-07-02 19:00:00
ft_sal_000127,ft_evt_0018,Sara Moreno,sara.moreno8@gmail.com,573000239085,1,136000,WEB,2026-06-22 09:00:00
ft_sal_000128,ft_evt_0018,Carolina Muñoz,carolinamunoz709@yahoo.com,+57 301 7120732,2,278000,WEB,2026-06-24 02:00:00
ft_sal_000129,ft_evt_0018,Mateo Zapata,mateo.zapata33@gmail.com,312 810 9967,3,288000,WEB,2026-06-21 09:00:00
ft_sal_000130,ft_evt_0018,Santiago Rodríguez,santiagorodriguez449@gmail.com,323 371 1376,2,92000,WEB,2026-06-21 16:00:00
ft_sal_000131,ft_evt_0018,L. Jiménez,luisa.jimenez18@hotmail.com,3138358371,1,141000,WEB,2026-06-13 14:00:00
ft_sal_000132,ft_evt_0018,Isabella Moreno,isabella.moreno529+compras@gmail.com,+57 312 6280616,2,88000,WEB,2026-06-19 19:00:00
ft_sal_000133,ft_evt_0018,Daniela Cardenas,daniela.cardenas82@hotmial.com,+57 324 3452960,1,55000,WEB,2026-06-23 16:00:00
ft_sal_000134,ft_evt_0018,Carolina Salazar,carolina.salazar@hotmail.com,+57 320 0204780,1,45000,WEB,2026-06-29 16:00:00
ft_sal_000135,ft_evt_0018,Sara Céspedes,saracespedes236@gmail.com,301 096 3470,1,60000,WEB,2026-06-22 16:00:00
ft_sal_000136,ft_evt_0018,óscar salazar,oscar.salazar@icloud.com,+57 312 3455024,2,116000,WEB,2026-06-11 15:00:00
ft_sal_000137,ft_evt_0018,Carolina Ospina,carolina.ospina269@gmail.com,+57 317 9133802,1,44000,WEB,2026-06-19 20:00:00
ft_sal_000138,ft_evt_0018,Santiago Betancur,santiago.betancur509@gmail.com,(+57) 326-640-6938,1,65000,WEB,2026-06-17 15:00:00
ft_sal_000139,ft_evt_0018,Miguel Suárez,miguel.suarez51@gmial.com,320 488 1673,2,86000,BOX_OFFICE,2026-07-02 03:00:00
ft_sal_000140,ft_evt_0018,felipe hernández,felipe.hernandez528@gmial.com,573280680952,2,86000,WEB,2026-06-15 14:00:00
ft_sal_000141,ft_evt_0018,Carlos Castro,CARLOS.CASTRO@GMAIL.COM,+57 306 0869092,1,43000,WEB,2026-06-27 00:00:00
ft_sal_000142,ft_evt_0018,Ricardo Gómez,ricardo.gomez+compras@gmail.com,573022418973,3,132000,ADMIN,2026-06-20 08:00:00
ft_sal_000143,ft_evt_0018,Miguel Castro,miguel.castro59@hotmail.com,3028873466,2,88000,WEB,2026-06-26 16:00:00
ft_sal_000144,ft_evt_0018,ALEJANDRO QUINTERO,alejandro.quintero@outlook.com,318 452 3188,1,42000,WEB,2026-06-28 13:00:00
ft_sal_000145,ft_evt_0018,María Muñoz,mariamunoz179@hotmail.com,320 554 2929,2,188000,WEB,2026-06-24 02:00:00
ft_sal_000146,ft_evt_0018,Zapata Óscar,oscar.zapata141@gmail.com,(+57) 307-744-1844,1,46000,WEB,2026-06-15 18:00:00
ft_sal_000147,ft_evt_0018,Carolina Hernández,carolina.hernandez+compras@gmail.com,314 760 1575,1,65000,WEB,2026-06-21 09:00:00
ft_sal_000148,ft_evt_0018,Fabián Jiménez,fabian.jimenez467+compras@gmail.com,3290285322,2,78000,WEB,2026-06-21 18:00:00
ft_sal_000149,ft_evt_0018,C. Betancur,carolina.betancur@gmail.com,(+57) 310-421-1571,2,266000,WEB,2026-06-21 11:00:00
ft_sal_000150,ft_evt_0018,Esteban Gómez,esteban.gomez64@yahoo.com,3038209595,1,0,RRPP,2026-06-27 16:00:00
ft_sal_000151,ft_evt_0018,Santiago Guerrero Restrepo,santiagoguerrero527@gmail.com,,2,184000,BOX_OFFICE,2026-07-02 17:00:00
ft_sal_000152,ft_evt_0018,Camilo Vargas,camilo.vargas861@hotmail.com,(+57) 319-760-8920,3,267000,WEB,2026-06-15 11:00:00
ft_sal_000153,ft_evt_0018,isabella gómez,isabella.gomez38@gmail.com,3078177267,1,93000,WEB,2026-06-24 01:00:00
ft_sal_000154,ft_evt_0018,Ricardo Jiménez,ricardo.jimenez235@gmail.com,3205699919,3,138000,WEB,2026-06-23 17:00:00
ft_sal_000155,ft_evt_0018,L. Salazar,luisa.salazar@gmail.com,3251759840,2,82000,WEB,2026-06-19 13:00:00
ft_sal_000156,ft_evt_0018,Catalina Muñoz Martínez,catalina.munoz@gmail.com,306 828 7625,3,279000,WEB,2026-06-16 01:00:00
ft_sal_000157,ft_evt_0018,Santiago Cárdenas,santiago.cardenas201@gmail.com,(+57) 324-767-7557,6,852000,WEB,2026-06-13 12:00:00
ft_sal_000158,ft_evt_0018,XIMENA VARGAS,oscar.betancur382@gmail.com,3193011189,1,92000,WEB,2026-06-25 14:00:00
ft_sal_000159,ft_evt_0018,Juan Mejía,juanmejia693@gmail.com,(+57) 323-236-7748,2,90000,WEB,2026-06-23 08:00:00
ft_sal_000160,ft_evt_0018,Manuela Ospina,manuela.ospina42@gmail.com,(+57) 312-051-7290,6,588000,WEB,2026-06-22 06:00:00
ft_sal_000161,ft_evt_0018,Peña Cristian,cristian.pena54+spam@gmail.com,3041825489,2,82000,WEB,2026-06-29 02:00:00
ft_sal_000162,ft_evt_0018,Salazar Camilo,camilo.salaar@gmail.com,+57 310 4952667,2,182000,BOX_OFFICE,2026-07-02 07:00:00
ft_sal_000163,ft_evt_0018,Ximena Cárdenas,ximena.cardenas+eventos@gmail.com,+57 305 5770215,1,103000,WEB,2026-06-24 16:00:00
ft_sal_000164,ft_evt_0018,Santiago Castro Moreno,santiago.castro93@outlook.com,3197548742,1,126000,WEB,2026-06-26 19:00:00
ft_sal_000165,ft_evt_0018,Ricardo Rodríguez,ricardo.rodriguez@hotmail.com,302 045 9572,2,114000,WEB,2026-06-21 03:00:00
ft_sal_000166,ft_evt_0018,Esteban Castro Restrepo,esteban.castro@gmial.com,3269574140,2,88000,BOX_OFFICE,2026-07-02 00:00:00
ft_sal_000167,ft_evt_0018,Sebastián Bermúdez,sebastian.bermudez343@gmail.com,3096058385,2,0,ADMIN,2026-06-18 08:00:00
ft_sal_000168,ft_evt_0018,Camila Suárez,CAMILA.SUAREZ@OUTLOOK.COM,(+57) 315-014-4564,1,57000,WEB,2026-06-29 18:00:00
ft_sal_000169,ft_evt_0018,Miguel Restrepo,miguel.restrepo73@yahoo.com,(+57) 303-223-4459,1,46000,BOX_OFFICE,2026-07-02 16:00:00
ft_sal_000170,ft_evt_0018,Arango Luisa,luisa.arango4@gmail.com,321 133 2513,4,180000,WEB,2026-06-20 01:00:00
ft_sal_000171,ft_evt_0018,I. Rojas,isabellarojas889@gmail.com,322 079 6949,6,540000,WEB,2026-06-23 08:00:00
ft_sal_000172,ft_evt_0018,Felipe Mejía,felipe.mejia90@yahoo.com,+57 304 7799462,3,177000,WEB,2026-06-23 02:00:00
ft_sal_000173,ft_evt_0018,Restrepo David,andrea.lopez256@gmail.com,573044232426,1,157000,WEB,2026-06-24 08:00:00
ft_sal_000174,ft_evt_0018,Catalina Valencia,andres.vargas428@gmail.com,319 426 9334,1,63000,WEB,2026-06-27 16:00:00
ft_sal_000175,ft_evt_0018,J. Suárez,juansuarez511@gmail.com,,2,200000,WEB,2026-06-27 03:00:00
ft_sal_000176,ft_evt_0018,Natalia Restrepo,natalia.restrepo9@gmail.com,3097001611,1,149000,WEB,2026-06-16 18:00:00
ft_sal_000177,ft_evt_0018,Camila Jiménez Arango,camilajimenez520@yahoo.com,300 630 2563,2,90000,ADMIN,2026-06-18 04:00:00
ft_sal_000178,ft_evt_0001,David Ospina,david.ospina932@gmial.com,308 780 2058,2,190000,ADMIN,2026-06-22 18:00:00
ft_sal_000179,ft_evt_0001,Mariana Jiménez,mariana.jimenez504@gmail.com,(+57) 326-563-0561,3,150000,WEB,2026-07-01 12:00:00
ft_sal_000180,ft_evt_0001,Felipe Betancur,feipe.betancur6@outlook.com,+57 322 0796714,1,46000,BOX_OFFICE,2026-07-03 02:00:00
ft_sal_000181,ft_evt_0001,Paula González,paula.gonzalez@yahoo.com,(+57) 323-633-3006,4,244000,WEB,2026-06-18 00:00:00
ft_sal_000182,ft_evt_0001,Óscar Ortiz Betancur,carlos.rojas410@icloud.com,+57 310 6568286,2,262000,RRPP,2026-06-25 06:00:00
ft_sal_000183,ft_evt_0001,Ramírez Luisa,luisa.ramirez91@icloud.com,(+57) 318-689-9199,2,92000,WEB,2026-06-27 11:00:00
ft_sal_000184,ft_evt_0001,Carolina Peña Céspedes,carolinapena29@hotmail.com,573065591697,1,56000,WEB,2026-06-25 17:00:00
ft_sal_000185,ft_evt_0001,María Ortiz,mariaortiz291@gmail.com,573249294448,3,141000,WEB,2026-06-27 00:00:00
ft_sal_000186,ft_evt_0001,Alejandro Castro,alejandro.castro460@hotmail.com,(+57) 329-901-2759,2,112000,WEB,2026-06-23 12:00:00
ft_sal_000187,ft_evt_0001,Luisa Arango,LUISA.ARANGO@GMAIL.COM,+57 308 5167743,4,364000,WEB,2026-06-23 06:00:00
ft_sal_000188,ft_evt_0001,JULIÁN JIMÉNEZ,julianjimenez192@gmail.com,321 205 6972,2,176000,BOX_OFFICE,2026-07-03 16:00:00
ft_sal_000189,ft_evt_0001,santiago gómez,santiagogomez436@hotmail.com,323 497 6029,2,88000,WEB,2026-06-24 05:00:00
ft_sal_000190,ft_evt_0001,Suárez Isabella,isabella.suarez76@hotmail.com,(+57) 317-607-1464,2,90000,BOX_OFFICE,2026-07-03 17:00:00
ft_sal_000191,ft_evt_0001,Carlos Cespedes,carloscespedes501@gmail.com,+57 313 4412687,2,0,BOX_OFFICE,2026-07-03 02:00:00
ft_sal_000192,ft_evt_0001,Andrea Cardenas,andreacardenas82@gmail.com,(+57) 305-502-3407,2,118000,WEB,2026-06-26 15:00:00
